"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"2","CAPPUCCINO SCADA - 1KG","CAFES / BASES EM PO","true","KG","0","12,6940","83,8400","1.064,2650"
"6","CAPPUCCINO DIET","CAFES / BASES EM PO","true","KG","0","0,6720","239,4857","160,9344"
"107","CHA QUENTE NACIONAL SACHE","CAFES / BASES EM PO","true","UN","0","198,0000","0,3990","79,0020"
"441","CHOCOLATE CREMOSO- 1,05KG","CAFES / BASES EM PO","true","KG","0","6,7290","105,0667","706,9938"
"662","SCADA BLEND GRAO 250G","CAFES / BASES EM PO","true","KG","0","6,1790","108,0000","667,3320"
"722","SCADA DESCAFEINADO GRAO 250G","CAFES / BASES EM PO","true","KG","0","1,1660","240,0000","279,8400"
"723","SCADA B.VERMELHO=FRUTADO GRAO 250GR","CAFES / BASES EM PO","true","KG","0","9,6840","108,0000","1.045,8720"
"725","SCADA B.AMARELO=CITRIC0 GRAO 250GR","CAFES / BASES EM PO","true","KG","0","4,6000","108,0000","496,8000"
"787","CAPSULAS BLEND SCADA","CAFES / BASES EM PO","true","CX","0","0,0000","2,9500","0,0000"
"860","AMIDO DE MILHO","CAFES / BASES EM PO","true","KG","0","0,4380","24,9500","10,9281"
"930","SCADA EDICAO ESPECIAL GRAO 250G","CAFES / BASES EM PO","true","KG","0","4,1550","220,0000","914,1000"
"1059","CHA MATE TOSTADO","CAFES / BASES EM PO","true","KG","0","1,0620","51,9200","55,1390"
"1149","SCADA BLEND GRAO 1 KG","CAFES / BASES EM PO","true","KG","0","44,3900","90,2000","4.003,9780"
"1136","VINHO TINTO GARRAFA 0,75ML","BEBIDAS","true","LT","0","0,0000","71,3733","0,0000"
"1137","VINHO BRANCO GARRAFA 0,187ML","BEBIDAS","true","LT","0","1,6830","110,0078","185,1431"
"1181","VINHO BRANCO GARRAFA 0,750ML","BEBIDAS","true","LT","0","0,0000","71,3733","0,0000"
"1241","MATCHA","BEBIDAS","true","KG","0","0,7600","219,6078","166,9019"
"1256","AGUA DE COCO","BEBIDAS","true","UN","0","0,0000","3,4000","0,0000"
"932","VINHO TINTO GARRAFA 0,187ML","BEBIDAS","true","LT","0","5,6100","134,3850","753,8999"
"807","VINHO TINTO GARRAFA PREMIUM 0,750ML","BEBIDAS","true","UN","0","3,0000","53,5300","160,5900"
"808","VINHO TINTO GARRAFA ESPECIAL 0,75ML","BEBIDAS","true","UN","0","4,0000","61,4900","245,9600"
"485","CERVEJA HEINEKEN LG NECK","BEBIDAS","true","UN","0","33,0000","6,9400","229,0200"
"118","SUCO LARANJA IND","BEBIDAS","true","LT","0","13,0000","18,3000","237,9000"
"40","AROMATIZANTE AVELA","BEBIDAS","true","LT","0","2,5000","61,2000","153,0000"
"42","AROMATIZANTE FRAMBOESA","BEBIDAS","true","LT","0","2,1700","61,2000","132,8040"
"43","AROMATIZANTE MACA VERDE","BEBIDAS","true","LT","0","1,9500","61,2000","119,3400"
"174","SUCO UVA LATA","BEBIDAS","true","UN","0","10,0000","6,2500","62,5000"
"177","COCA COLA LATA","BEBIDAS","true","UN","0","41,0000","3,7600","154,1600"
"178","COCA COLA ZERO LATA","BEBIDAS","true","UN","0","17,0000","3,7600","63,9200"
"182","GUARANA LATA","BEBIDAS","true","UN","0","21,0000","3,6200","76,0200"
"183","GUARANA ZERO LATA","BEBIDAS","true","UN","0","18,0000","3,6200","65,1600"
"185","AGUA GARRAFA S GAS","BEBIDAS","true","UN","0","143,0000","1,9167","274,0881"
"186","AGUA GARRAFA C GAS","BEBIDAS","true","UN","0","220,0000","2,0917","460,1740"
"188","AGUA TONICA LATA","BEBIDAS","true","UN","0","9,0000","3,5000","31,5000"
"474","BOLO DE MACA C/ CASTANHA","DOCES","true","UN","0","43,0000","3,3707","144,9401"
"366","TORTA LIMAO","DOCES","true","UN","0","29,0000","5,1400","149,0600"
"24","BRIGADEIRO PISTACHE GOURMET","DOCES","true","UN","0","0,0000","4,2992","0,0000"
"403","BOLO DE CENOURA COM CHOCOLATE","DOCES","true","UN","0","69,0000","3,1679","218,5851"
"128","BROWNIE","DOCES","true","UN","0","43,0000","4,2000","180,6000"
"130","TORTA NINHO TRUFADA AVELA","DOCES","true","UN","0","29,0000","5,2457","152,1253"
"134","TORTA SWEET PIE","DOCES","true","UN","0","28,0000","5,1407","143,9396"
"144","BOLO DE LARANJA","DOCES","true","UN","0","55,0000","3,3886","186,3730"
"816","PASTEL DE BELEM","DOCES","true","UN","0","69,0000","4,4167","304,7523"
"511","BRIGADEIRO GOURMET","DOCES","true","UN","0","20,0000","3,1409","62,8180"
"606","BOLO TAPIOCA D.LEITE Z/GLUTEN /Z/LAC","DOCES","true","UN","0","1,0000","10,3571","10,3571"
"628","TORTA CHEESECAKE","DOCES","true","UN","0","29,0000","4,9371","143,1759"
"914","TORTA BANOFFE","DOCES","true","UN","0","9,0000","5,1407","46,2663"
"825","PETIT GATEAU","DOCES","true","UN","0","13,0000","5,2054","67,6702"
"1042","BOLO PALHA ITALI.ZERO ACUCAR E LACTOSE","DOCES","true","UN","0","21,0000","10,3571","217,4991"
"1272","CASADINHO GOURMET","DOCES","true","UN","0","64,0000","2,7544","176,2816"
"1273","BRIGADEIRO PREMIUM NUTELLA","DOCES","true","UN","0","33,0000","4,1683","137,5539"
"1236","MINI CHOCOBROWNIE ZERO S/GLU/LAC/ACU","DOCES","true","UN","0","7,0000","14,9750","104,8250"
"1238","MINI BANOFFEE ZERO","DOCES","true","UN","0","10,0000","14,9750","149,7500"
"1312","BOLO DE CENOURA TRUFADO","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"1313","GELEIA DE CAFÉ DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1314","GELEIA DE CAFÉ C/ PIMENTA DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1315","GELEIA ZERO AÇUCAR DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1316","BRIGADEIRO PISTACHE ZERO","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"1317","BRIGADEIRO CHURROS ZERO","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"1140","BOLO DE BRIGADEIRO HOLANDES","DOCES","true","UN","0","59,0000","7,3071","431,1189"
"1113","DOCE LEITE ORGANICO CARAM/CAFE 300GR","DOCES","true","UN","0","22,0000","17,0500","375,1000"
"1152","MACARRAO COZIDO - PENNE","CONGELADOS","true","UN","0","14,0000","5,3000","74,2000"
"1154","MIX MOLHO FUNGHI","CONGELADOS","true","UN","0","5,0000","11,6000","58,0000"
"1156","PICADINHO DE CARNE BOVINA","CONGELADOS","true","UN","0","17,0000","16,2000","275,4000"
"1158","MIX MOLHO DE CAMARAO","CONGELADOS","true","UN","0","7,0000","17,6000","123,2000"
"1159","ARROZ ARBOREO RISOTO","CONGELADOS","true","UN","0","12,0000","5,3000","63,6000"
"1217","PARMEGIANA DE FRANGO","CONGELADOS","true","UN","0","0,0000","10,8900","0,0000"
"1220","FILE  FRANGO EMPANADO","CONGELADOS","true","UN","0","57,0000","10,7000","609,9000"
"1225","MOLHO PESTO","CONGELADOS","true","UN","0","6,0000","11,1000","66,6000"
"1227","CREME DE MILHO","CONGELADOS","true","UN","0","15,0000","5,9000","88,5000"
