"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"2","CAPPUCCINO SCADA - 1KG","CAFES / BASES EM PO","true","KG","0","6,7500","83,8400","565,9200"
"6","CAPPUCCINO DIET","CAFES / BASES EM PO","true","KG","0","0,1190","239,4857","28,4988"
"107","CHA QUENTE NACIONAL SACHE","CAFES / BASES EM PO","true","UN","0","142,0000","1,0890","154,6380"
"441","CHOCOLATE CREMOSO- 1,05KG","CAFES / BASES EM PO","true","KG","0","5,0000","105,0667","525,3335"
"662","SCADA BLEND GRAO 250G","CAFES / BASES EM PO","true","KG","0","2,5500","108,0000","275,4000"
"722","SCADA DESCAFEINADO GRAO 250G","CAFES / BASES EM PO","true","KG","0","1,1600","274,0000","317,8400"
"723","SCADA B.VERMELHO=FRUTADO GRAO 250GR","CAFES / BASES EM PO","true","KG","0","2,3960","108,0000","258,7680"
"724","SCADA ORGANICO GRAO 250G","CAFES / BASES EM PO","true","KG","0","0,0000","144,0000","0,0000"
"725","SCADA B.AMARELO=CITRIC0 GRAO 250GR","CAFES / BASES EM PO","true","KG","0","2,8300","108,0000","305,6400"
"823","GARRAFA 20 ANOS SCADA","CAFES / BASES EM PO","true","UN","0","0,0000","107,1000","0,0000"
"860","AMIDO DE MILHO","CAFES / BASES EM PO","true","KG","0","0,5830","23,9600","13,9687"
"930","SCADA EDICAO ESPECIAL GRAO 250G","CAFES / BASES EM PO","true","KG","0","3,4000","220,0000","748,0000"
"1059","CHA MATE TOSTADO","CAFES / BASES EM PO","true","KG","0","0,8730","51,9200","45,3262"
"1149","SCADA BLEND GRAO 1 KG","CAFES / BASES EM PO","true","KG","0","44,9460","90,2000","4.054,1292"
"1136","VINHO TINTO GARRAFA 0,75ML","BEBIDAS","true","LT","0","0,0000","64,9067","0,0000"
"1137","VINHO BRANCO GARRAFA 0,187ML","BEBIDAS","true","LT","0","8,4150","109,8396","924,3002"
"1138","VINHO ROSE GARRAFA 0,750ML","BEBIDAS","true","LT","0","0,0000","111,9786","0,0000"
"1181","VINHO BRANCO GARRAFA 0,750ML","BEBIDAS","true","LT","0","0,7500","67,3867","50,5400"
"1241","MATCHA","BEBIDAS","true","KG","0","1,0100","219,6078","221,8039"
"1256","AGUA DE COCO","BEBIDAS","true","UN","0","0,0000","4,9800","0,0000"
"932","VINHO TINTO GARRAFA 0,187ML","BEBIDAS","true","LT","0","17,2040","109,8396","1.889,6805"
"807","VINHO TINTO GARRAFA PREMIUM 0,750ML","BEBIDAS","true","UN","0","1,0000","79,8667","79,8667"
"808","VINHO TINTO GARRAFA ESPECIAL 0,75ML","BEBIDAS","true","UN","0","0,0000","74,9067","0,0000"
"485","CERVEJA HEINEKEN LG NECK","BEBIDAS","true","UN","0","67,0000","6,9400","464,9800"
"118","SUCO LARANJA IND","BEBIDAS","true","LT","0","3,3000","19,5000","64,3500"
"40","AROMATIZANTE AVELA","BEBIDAS","true","LT","0","2,3700","61,2000","145,0440"
"42","AROMATIZANTE FRAMBOESA","BEBIDAS","true","LT","0","2,2300","61,2000","136,4760"
"43","AROMATIZANTE MACA VERDE","BEBIDAS","true","LT","0","2,6930","61,2000","164,8116"
"177","COCA COLA LATA","BEBIDAS","true","UN","0","53,0000","3,7600","199,2800"
"178","COCA COLA ZERO LATA","BEBIDAS","true","UN","0","77,0000","3,7600","289,5200"
"182","GUARANA LATA","BEBIDAS","true","UN","0","80,0000","3,6200","289,6000"
"183","GUARANA ZERO LATA","BEBIDAS","true","UN","0","58,0000","3,6200","209,9600"
"185","AGUA GARRAFA S GAS","BEBIDAS","true","UN","0","36,0000","1,9167","69,0012"
"186","AGUA GARRAFA C GAS","BEBIDAS","true","UN","0","38,0000","2,0917","79,4846"
"188","AGUA TONICA LATA","BEBIDAS","true","UN","0","6,0000","3,5000","21,0000"
"128","BROWNIE","DOCES","true","UN","0","16,0000","4,6858","74,9728"
"130","TORTA NINHO TRUFADA AVELA","DOCES","true","UN","0","42,0000","5,8536","245,8512"
"144","BOLO DE LARANJA","DOCES","true","UN","0","64,0000","3,7804","241,9456"
"25","MINI TORTINHA ALEMÃ","DOCES","true","UN","0","0,0000","18,6500","0,0000"
"366","TORTA LIMAO","DOCES","true","UN","0","46,0000","5,7350","263,8100"
"403","BOLO DE CENOURA COM CHOCOLATE","DOCES","true","UN","0","60,0000","3,5336","212,0160"
"511","BRIGADEIRO GOURMET","DOCES","true","UN","0","49,0000","3,4031","166,7519"
"474","BOLO DE MACA C/ CASTANHA","DOCES","true","UN","0","68,0000","3,7591","255,6188"
"606","BOLO TAPIOCA D.LEITE Z/GLUTEN /Z/LAC","DOCES","true","UN","0","9,0000","10,3571","93,2139"
"628","TORTA CHEESECAKE","DOCES","true","UN","0","35,0000","5,5086","192,8010"
"645","BRIGADEIRO PISTACHE","DOCES","true","UN","0","0,0000","670,7600","0,0000"
"816","PASTEL DE BELEM","DOCES","true","UN","0","26,0000","4,7172","122,6472"
"861","BOLO DE FUBA COM GOIABADA","DOCES","true","UN","0","0,0000","3,5334","0,0000"
"914","TORTA BANOFFE","DOCES","true","UN","0","44,0000","5,7350","252,3400"
"934","TORTA PACOCA","DOCES","true","UN","0","0,0000","5,7350","0,0000"
"825","PETIT GATEAU","DOCES","true","UN","0","19,0000","5,8075","110,3425"
"1236","MINI CHOCOBROWNIE ZERO S/GLU/LAC/ACU","DOCES","true","UN","0","9,0000","14,9750","134,7750"
"1238","MINI BANOFFEE ZERO","DOCES","true","UN","0","10,0000","14,9750","149,7500"
"1272","CASADINHO GOURMET","DOCES","true","UN","0","57,0000","2,9844","170,1108"
"1273","BRIGADEIRO PREMIUM NUTELLA","DOCES","true","UN","0","23,0000","4,5167","103,8841"
"1140","BOLO DE BRIGADEIRO HOLANDES","DOCES","true","UN","0","40,0000","8,1521","326,0840"
"1042","BOLO PALHA ITALI.ZERO ACUCAR E LACTOSE","DOCES","true","UN","0","21,0000","10,3571","217,4991"
"1113","DOCE LEITE ORGANICO CARAM/CAFE 300GR","DOCES","true","UN","0","14,0000","15,5000","217,0000"
"1312","BOLO DE CENOURA TRUFADO","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"1313","GELEIA DE CAFÉ DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1314","GELEIA DE CAFÉ C/ PIMENTA DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1315","GELEIA ZERO AÇUCAR DANEGA","DOCES","true","KG","0","0,0000","0,0000","0,0000"
"1317","BRIGADEIRO CHURROS ZERO","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"1310","MINI TORTINHA ALEMÃ","DOCES","true","UN","0","0,0000","0,0000","0,0000"
"852","POLPA DETOX -  0,200G/UN","CONGELADOS","true","UN","0","0,0000","1,9500","0,0000"
"1152","MACARRAO COZIDO - PENNE","CONGELADOS","true","UN","0","23,0000","4,1000","94,3000"
"1154","MIX MOLHO FUNGHI","CONGELADOS","true","UN","0","37,0000","9,6000","355,2000"
"1156","PICADINHO DE CARNE BOVINA","CONGELADOS","true","UN","0","6,0000","12,9000","77,4000"
"1158","MIX MOLHO DE CAMARAO","CONGELADOS","true","UN","0","14,0000","15,4000","215,6000"
"1159","ARROZ ARBOREO RISOTO","CONGELADOS","true","UN","0","32,0000","4,3000","137,6000"
"1160","FEIJAO TROPEIRO","CONGELADOS","true","UN","0","0,0000","10,9000","0,0000"
"1220","FILE  FRANGO EMPANADO","CONGELADOS","true","UN","0","57,0000","8,9000","507,3000"
"1225","MOLHO PESTO","CONGELADOS","true","UN","0","6,0000","11,1000","66,6000"
"1227","CREME DE MILHO","CONGELADOS","true","UN","0","21,0000","5,4000","113,4000"
"1228","LEGUMES PANACHE","CONGELADOS","true","UN","0","14,0000","4,9000","68,6000"
"836","BACON","CONGELADOS","true","KG","0","0,9020","95,6000","86,2312"
"769","STROGONOFF DE FRANGO","CONGELADOS","true","UN","0","20,0000","10,8000","216,0000"
"777","STROGONOFF DE CARNE","CONGELADOS","true","UN","0","24,0000","13,6000","326,4000"
"876","POLPA ABACAXI 0,100G/UN","CONGELADOS","true","UN","0","0,0000","2,6500","0,0000"
"397","POLPA MORANGO  0,100G/UN","CONGELADOS","true","UN","0","26,0000","2,8400","73,8400"
"704","ARROZ BRANCO TRADICIONAL","CONGELADOS","true","UN","0","51,0000","2,9500","150,4500"
"501","MOLHO DE TOMATE C/MANJERICAO-100G","CONGELADOS","true","UN","0","15,0000","3,7000","55,5000"
"49","SORVETE CREME","CONGELADOS","true","KG","0","7,9200","24,6065","194,8835"
"119","POLPA ACEROLA  0,100G/UN","CONGELADOS","true","UN","0","0,0000","2,2900","0,0000"
"120","POLPA ACEROLA LARANJA  0,100G/UN","CONGELADOS","true","UN","0","81,0000","3,1900","258,3900"
"121","POLPA ABACAXI HORTELA 0,100G/UN","CONGELADOS","true","UN","0","30,0000","2,7900","83,7000"
"122","POLPA MARACUJA  0,100G/UN","CONGELADOS","true","UN","0","14,0000","4,3900","61,4600"
"75","TOMATE","HORTIFRUTTI","true","KG","0","2,0550","7,9800","16,3989"
"77","ALFACE AMERICANA","HORTIFRUTTI","true","KG","0","1,7750","19,9200","35,3580"
"78","RUCULA","HORTIFRUTTI","true","KG","0","0,4000","16,9500","6,7800"
"79","MANJERICAO","HORTIFRUTTI","true","KG","0","0,1560","41,1340","6,4169"
"82","LIMAO","HORTIFRUTTI","true","KG","0","2,1000","3,9500","8,2950"
"843","TOMATE CEREJA","HORTIFRUTTI","true","KG","0","0,3790","24,9500","9,4561"
"1184","SALSINHA","HORTIFRUTTI","true","KG","0","0,0000","23,0612","0,0000"
"58","QUEIJO PARMESAO","LATICINIOS / FRIOS","true","KG","0","0,3190","75,0000","23,9250"
"60","QUEIJO MUCARELA","LATICINIOS / FRIOS","true","KG","0","1,9820","39,8000","78,8836"
"64","PRESUNTO","LATICINIOS / FRIOS","true","KG","0","1,0660","34,9000","37,2034"
"65","PRESUNTO PARMA","LATICINIOS / FRIOS","true","KG","0","1,4540","176,0000","255,9040"
"66","QUEIJO BRIE","LATICINIOS / FRIOS","true","KG","0","4,7240","95,1521","449,4985"
"68","PEITO DE PERU","LATICINIOS / FRIOS","true","KG","0","1,0420","37,9700","39,5647"
"73","QUEIJO FRESCO (MINAS)","LATICINIOS / FRIOS","true","KG","0","2,7800","37,7951","105,0704"
"4","LEITE INTEGRAL","LATICINIOS / FRIOS","true","LT","0","102,0000","5,8600","597,7200"
"5","CHANTILY","LATICINIOS / FRIOS","true","LT","0","4,0000","21,8000","87,2000"
"99","MANTEIGA","LATICINIOS / FRIOS","true","KG","0","5,8000","38,0000","220,4000"
"20","REQUEIJAO CREMOSO","LATICINIOS / FRIOS","true","KG","0","1,6000","37,9333","60,6933"
"21","BARRA CHOCOLATE PRETO MEIO AMARGO","SECOS","true","KG","0","1,2900","95,0400","122,6016"
"100","MEL","SECOS","true","KG","0","1,3700","51,7778","70,9356"
"101","NUTELLA","SECOS","true","KG","0","3,0380","65,6667","199,4954"
"104","ACUCAR TRADICIONAL SACHE","SECOS","false","UN","0","3.600,0000","0,0589","212,0400"
"105","ADOCANTE SACHE","SECOS","false","UN","0","1.000,0000","0,0749","74,9000"
"106","ADOCANTE LIQUIDO","SECOS","false","LT","0","0,1000","105,9000","10,5900"
"9","CALDA CHOCOLATE","SECOS","true","KG","0","0,4550","57,1429","26,0000"
"14","CANELA EM PO","SECOS","true","KG","0","0,0748","231,0185","17,2802"
"86","AZEITE","SECOS","true","LT","0","3,3000","47,7800","157,6740"
"89","GELEIA DE DAMASCO","SECOS","true","KG","0","0,7100","9,2480","6,5661"
"91","OREGANO","SECOS","true","KG","0","0,0000","45,5000","0,0000"
"92","SAL","SECOS","false","KG","0","0,0000","4,0000","0,0000"
"94","CATCHUP SACHE","SECOS","false","UN","0","0,0000","0,2100","0,0000"
